args_n args_k args_L args_iterations args_curve  net_file_size_bytes  runtime_setup_seconds runtime_file_generation_seconds  runtime_all_column_commitments_seconds runtime_per_column_commitment_seconds runtime_all_row_encodings_seconds runtime_per_row_encoding_seconds runtime_all_chunk_verifications_seconds runtime_per_chunk_verification_seconds  runtime_all_downloaded_chunk_verifications_seconds runtime_per_downloaded_chunk_verification_seconds runtime_all_row_decodings_seconds runtime_per_row_decoding_seconds runtime_prepare_decoding_seconds  num_column_commitments num_row_encodings num_chunk_verifications num_downloaded_chunk_verifications num_row_decodings  size_file_uncoded_bytes size_column_commitments_bytes size_file_coded_bytes  scenario_disperse_runtime_client_seconds scenario_disperse_runtime_node_seconds scenario_disperse_communication_bytes scenario_disperse_storage_bytes  scenario_retrieve_runtime_client_seconds  scenario_sampling_num_openings scenario_sampling_runtime_prover_seconds scenario_sampling_runtime_verifier_seconds scenario_sampling_runtime_proof_size_bytes   ### columns
# Measurements { num_measurements: 1, net_file_size_bytes: 11086592, runtime_setup_seconds: 0.204651478, runtime_file_generation_seconds: 0.037883155, runtime_all_column_commitments_seconds: 29.004064949, runtime_per_column_commitment_seconds: 0.08505590894134897, runtime_all_row_encodings_seconds: 1.029392272, runtime_per_row_encoding_seconds: 0.001005265890625, runtime_all_chunk_verifications_seconds: 257.194714258, runtime_per_chunk_verification_seconds: 0.2511667131425781, runtime_all_downloaded_chunk_verifications_seconds: 35.016394917, runtime_per_downloaded_chunk_verification_seconds: 0.10268737512316715, runtime_all_row_decodings_seconds: 10.657892204, runtime_per_row_decoding_seconds: 0.01040809785546875, runtime_prepare_decoding_seconds: 7.452753444, num_column_commitments: 341, num_row_encodings: 1024, num_chunk_verifications: 1024, num_downloaded_chunk_verifications: 341, num_row_decodings: 1024, size_file_uncoded_bytes: 11173888, size_column_commitments_bytes: 35464, size_file_coded_bytes: 33554432, scenario_disperse_runtime_client_seconds: 30.033457221, scenario_disperse_runtime_node_seconds: 0.2511667131425781, scenario_disperse_communication_bytes: 69869568, scenario_disperse_storage_bytes: 69869568, scenario_retrieve_runtime_client_seconds: 53.127040565, scenario_sampling_num_openings: 341, scenario_sampling_runtime_prover_seconds: 0.09027666194428155, scenario_sampling_runtime_verifier_seconds: 0.010739474844574775, scenario_sampling_runtime_proof_size_bytes: 35616 }
1024 341 1024 1 bls12-381  11086592  0.204651 0.037883  29.004065 0.085056 1.029392 0.001005 257.194714 0.251167  35.016395 0.102687 10.657892 0.010408 7.452753  341 1024 1024 341 1024  11173888 35464 33554432  30.033457 0.251167 69869568 69869568  53.127041  341 0.090277 0.010739 35616
# Args { n: 128, k: 43, L: 2048, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 2796032, runtime_setup_seconds: 0.331009966, runtime_file_generation_seconds: 0.00946617, runtime_all_column_commitments_seconds: 6.66224046, runtime_per_column_commitment_seconds: 0.1549358246511628, runtime_all_row_encodings_seconds: 0.326118431, runtime_per_row_encoding_seconds: 0.00015923751513671874, runtime_all_chunk_verifications_seconds: 21.463446381, runtime_per_chunk_verification_seconds: 0.1676831748515625, runtime_all_downloaded_chunk_verifications_seconds: 6.646431209, runtime_per_downloaded_chunk_verification_seconds: 0.1545681676511628, runtime_all_row_decodings_seconds: 0.301193728, runtime_per_row_decoding_seconds: 0.00014706725, runtime_prepare_decoding_seconds: 0.044962713, num_column_commitments: 43, num_row_encodings: 2048, num_chunk_verifications: 128, num_downloaded_chunk_verifications: 43, num_row_decodings: 2048, size_file_uncoded_bytes: 2818048, size_column_commitments_bytes: 4472, size_file_coded_bytes: 8388608, scenario_disperse_runtime_client_seconds: 6.988358891, scenario_disperse_runtime_node_seconds: 0.1676831748515625, scenario_disperse_communication_bytes: 8961024, scenario_disperse_storage_bytes: 8961024, scenario_retrieve_runtime_client_seconds: 6.992587650000001, scenario_sampling_num_openings: 43, scenario_sampling_runtime_prover_seconds: 0.15140323295348843, scenario_sampling_runtime_verifier_seconds: 0.00986642934883721, scenario_sampling_runtime_proof_size_bytes: 4624 }
128 43 2048 1 bls12-381  2796032  0.331010 0.009466  6.662240 0.154936 0.326118 0.000159 21.463446 0.167683  6.646431 0.154568 0.301194 0.000147 0.044963  43 2048 128 43 2048  2818048 4472 8388608  6.988359 0.167683 8961024 8961024  6.992588  43 0.151403 0.009866 4624
# Args { n: 256, k: 85, L: 2048, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 5527040, runtime_setup_seconds: 0.332417398, runtime_file_generation_seconds: 0.016363217, runtime_all_column_commitments_seconds: 13.316948113, runtime_per_column_commitment_seconds: 0.1566699778, runtime_all_row_encodings_seconds: 0.528820947, runtime_per_row_encoding_seconds: 0.00025821335302734377, runtime_all_chunk_verifications_seconds: 50.201195677, runtime_per_chunk_verification_seconds: 0.19609842061328125, runtime_all_downloaded_chunk_verifications_seconds: 13.794949062, runtime_per_downloaded_chunk_verification_seconds: 0.1622935183764706, runtime_all_row_decodings_seconds: 1.1660441129999999, runtime_per_row_decoding_seconds: 0.0005693574770507812, runtime_prepare_decoding_seconds: 0.207533466, num_column_commitments: 85, num_row_encodings: 2048, num_chunk_verifications: 256, num_downloaded_chunk_verifications: 85, num_row_decodings: 2048, size_file_uncoded_bytes: 5570560, size_column_commitments_bytes: 8840, size_file_coded_bytes: 16777216, scenario_disperse_runtime_client_seconds: 13.84576906, scenario_disperse_runtime_node_seconds: 0.19609842061328125, scenario_disperse_communication_bytes: 19040256, scenario_disperse_storage_bytes: 19040256, scenario_retrieve_runtime_client_seconds: 15.168526641, scenario_sampling_num_openings: 85, scenario_sampling_runtime_prover_seconds: 0.1575944796588235, scenario_sampling_runtime_verifier_seconds: 0.011003152329411766, scenario_sampling_runtime_proof_size_bytes: 8992 }
256 85 2048 1 bls12-381  5527040  0.332417 0.016363  13.316948 0.156670 0.528821 0.000258 50.201196 0.196098  13.794949 0.162294 1.166044 0.000569 0.207533  85 2048 256 85 2048  5570560 8840 16777216  13.845769 0.196098 19040256 19040256  15.168527  85 0.157594 0.011003 8992
# Args { n: 512, k: 171, L: 2048, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 11119104, runtime_setup_seconds: 0.331524851, runtime_file_generation_seconds: 0.035648871, runtime_all_column_commitments_seconds: 25.963764025, runtime_per_column_commitment_seconds: 0.15183487733918127, runtime_all_row_encodings_seconds: 0.968710392, runtime_per_row_encoding_seconds: 0.00047300312109375, runtime_all_chunk_verifications_seconds: 118.740095061, runtime_per_chunk_verification_seconds: 0.23191424816601564, runtime_all_downloaded_chunk_verifications_seconds: 26.729277184, runtime_per_downloaded_chunk_verification_seconds: 0.15631156247953218, runtime_all_row_decodings_seconds: 5.102101796, runtime_per_row_decoding_seconds: 0.002491260642578125, runtime_prepare_decoding_seconds: 1.179171882, num_column_commitments: 171, num_row_encodings: 2048, num_chunk_verifications: 512, num_downloaded_chunk_verifications: 171, num_row_decodings: 2048, size_file_uncoded_bytes: 11206656, size_column_commitments_bytes: 17784, size_file_coded_bytes: 33554432, scenario_disperse_runtime_client_seconds: 26.932474416999998, scenario_disperse_runtime_node_seconds: 0.23191424816601564, scenario_disperse_communication_bytes: 42659840, scenario_disperse_storage_bytes: 42659840, scenario_retrieve_runtime_client_seconds: 33.010550862, scenario_sampling_num_openings: 171, scenario_sampling_runtime_prover_seconds: 0.15139465742690061, scenario_sampling_runtime_verifier_seconds: 0.009147479713450295, scenario_sampling_runtime_proof_size_bytes: 17936 }
512 171 2048 1 bls12-381  11119104  0.331525 0.035649  25.963764 0.151835 0.968710 0.000473 118.740095 0.231914  26.729277 0.156312 5.102102 0.002491 1.179172  171 2048 512 171 2048  11206656 17784 33554432  26.932474 0.231914 42659840 42659840  33.010551  171 0.151395 0.009147 17936
# Args { n: 1024, k: 341, L: 2048, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 22173184, runtime_setup_seconds: 0.332358064, runtime_file_generation_seconds: 0.077039911, runtime_all_column_commitments_seconds: 52.084007468, runtime_per_column_commitment_seconds: 0.15273902483284457, runtime_all_row_encodings_seconds: 2.108346949, runtime_per_row_encoding_seconds: 0.0010294662836914062, runtime_all_chunk_verifications_seconds: 324.35567901, runtime_per_chunk_verification_seconds: 0.31675359278320314, runtime_all_downloaded_chunk_verifications_seconds: 54.124957704, runtime_per_downloaded_chunk_verification_seconds: 0.1587242161407625, runtime_all_row_decodings_seconds: 21.921553094, runtime_per_row_decoding_seconds: 0.010703883346679688, runtime_prepare_decoding_seconds: 7.454151324, num_column_commitments: 341, num_row_encodings: 2048, num_chunk_verifications: 1024, num_downloaded_chunk_verifications: 341, num_row_decodings: 2048, size_file_uncoded_bytes: 22347776, size_column_commitments_bytes: 35464, size_file_coded_bytes: 67108864, scenario_disperse_runtime_client_seconds: 54.192354417000004, scenario_disperse_runtime_node_seconds: 0.31675359278320314, scenario_disperse_communication_bytes: 103424000, scenario_disperse_storage_bytes: 103424000, scenario_retrieve_runtime_client_seconds: 83.50066212200001, scenario_sampling_num_openings: 341, scenario_sampling_runtime_prover_seconds: 0.1513287408269794, scenario_sampling_runtime_verifier_seconds: 0.00939733294721407, scenario_sampling_runtime_proof_size_bytes: 35616 }
1024 341 2048 1 bls12-381  22173184  0.332358 0.077040  52.084007 0.152739 2.108347 0.001029 324.355679 0.316754  54.124958 0.158724 21.921553 0.010704 7.454151  341 2048 1024 341 2048  22347776 35464 67108864  54.192354 0.316754 103424000 103424000  83.500662  341 0.151329 0.009397 35616
# Args { n: 128, k: 43, L: 4096, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 5592064, runtime_setup_seconds: 0.561744879, runtime_file_generation_seconds: 0.01552286, runtime_all_column_commitments_seconds: 11.756018356, runtime_per_column_commitment_seconds: 0.2733957757209302, runtime_all_row_encodings_seconds: 0.630786738, runtime_per_row_encoding_seconds: 0.00015400066845703124, runtime_all_chunk_verifications_seconds: 36.538059364, runtime_per_chunk_verification_seconds: 0.28545358878125, runtime_all_downloaded_chunk_verifications_seconds: 12.002326427, runtime_per_downloaded_chunk_verification_seconds: 0.27912387039534886, runtime_all_row_decodings_seconds: 0.603074861, runtime_per_row_decoding_seconds: 0.00014723507348632812, runtime_prepare_decoding_seconds: 0.044742118, num_column_commitments: 43, num_row_encodings: 4096, num_chunk_verifications: 128, num_downloaded_chunk_verifications: 43, num_row_decodings: 4096, size_file_uncoded_bytes: 5636096, size_column_commitments_bytes: 4472, size_file_coded_bytes: 16777216, scenario_disperse_runtime_client_seconds: 12.386805094, scenario_disperse_runtime_node_seconds: 0.28545358878125, scenario_disperse_communication_bytes: 17349632, scenario_disperse_storage_bytes: 17349632, scenario_retrieve_runtime_client_seconds: 12.650143406, scenario_sampling_num_openings: 43, scenario_sampling_runtime_prover_seconds: 0.2734134322325581, scenario_sampling_runtime_verifier_seconds: 0.01272752825581395, scenario_sampling_runtime_proof_size_bytes: 4624 }
128 43 4096 1 bls12-381  5592064  0.561745 0.015523  11.756018 0.273396 0.630787 0.000154 36.538059 0.285454  12.002326 0.279124 0.603075 0.000147 0.044742  43 4096 128 43 4096  5636096 4472 16777216  12.386805 0.285454 17349632 17349632  12.650143  43 0.273413 0.012728 4624
# Args { n: 256, k: 85, L: 4096, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 11054080, runtime_setup_seconds: 0.562405312, runtime_file_generation_seconds: 0.031260029, runtime_all_column_commitments_seconds: 24.507563913, runtime_per_column_commitment_seconds: 0.28832428132941174, runtime_all_row_encodings_seconds: 1.151658962, runtime_per_row_encoding_seconds: 0.00028116673876953124, runtime_all_chunk_verifications_seconds: 78.529034046, runtime_per_chunk_verification_seconds: 0.3067540392421875, runtime_all_downloaded_chunk_verifications_seconds: 24.571191123, runtime_per_downloaded_chunk_verification_seconds: 0.28907283674117645, runtime_all_row_decodings_seconds: 2.322865904, runtime_per_row_decoding_seconds: 0.00056710593359375, runtime_prepare_decoding_seconds: 0.208095641, num_column_commitments: 85, num_row_encodings: 4096, num_chunk_verifications: 256, num_downloaded_chunk_verifications: 85, num_row_decodings: 4096, size_file_uncoded_bytes: 11141120, size_column_commitments_bytes: 8840, size_file_coded_bytes: 33554432, scenario_disperse_runtime_client_seconds: 25.659222874999998, scenario_disperse_runtime_node_seconds: 0.3067540392421875, scenario_disperse_communication_bytes: 35817472, scenario_disperse_storage_bytes: 35817472, scenario_retrieve_runtime_client_seconds: 27.102152668, scenario_sampling_num_openings: 85, scenario_sampling_runtime_prover_seconds: 0.27537989501176474, scenario_sampling_runtime_verifier_seconds: 0.013023371952941183, scenario_sampling_runtime_proof_size_bytes: 8992 }
