args_n args_k args_L args_iterations args_curve  net_file_size_bytes  runtime_setup_seconds runtime_file_generation_seconds  runtime_all_column_commitments_seconds runtime_per_column_commitment_seconds runtime_all_row_encodings_seconds runtime_per_row_encoding_seconds runtime_all_chunk_verifications_seconds runtime_per_chunk_verification_seconds  runtime_all_downloaded_chunk_verifications_seconds runtime_per_downloaded_chunk_verification_seconds runtime_all_row_decodings_seconds runtime_per_row_decoding_seconds runtime_prepare_decoding_seconds  num_column_commitments num_row_encodings num_chunk_verifications num_downloaded_chunk_verifications num_row_decodings  size_file_uncoded_bytes size_column_commitments_bytes size_file_coded_bytes  scenario_disperse_runtime_client_seconds scenario_disperse_runtime_node_seconds scenario_disperse_communication_bytes scenario_disperse_storage_bytes  scenario_retrieve_runtime_client_seconds  scenario_sampling_num_openings scenario_sampling_runtime_prover_seconds scenario_sampling_runtime_verifier_seconds scenario_sampling_runtime_proof_size_bytes   ### columns
# Measurements { num_measurements: 1, net_file_size_bytes: 8323072, runtime_setup_seconds: 0.201341762, runtime_file_generation_seconds: 0.025063132, runtime_all_column_commitments_seconds: 21.752515421, runtime_per_column_commitment_seconds: 0.08497076336328124, runtime_all_row_encodings_seconds: 1.047545286, runtime_per_row_encoding_seconds: 0.001022993443359375, runtime_all_chunk_verifications_seconds: 213.867921576, runtime_per_chunk_verification_seconds: 0.2088553921640625, runtime_all_downloaded_chunk_verifications_seconds: 53.518834655, runtime_per_downloaded_chunk_verification_seconds: 0.20905794787109375, runtime_all_row_decodings_seconds: 5.938331808, runtime_per_row_decoding_seconds: 0.00579915215625, runtime_prepare_decoding_seconds: 3.403538287, num_column_commitments: 256, num_row_encodings: 1024, num_chunk_verifications: 1024, num_downloaded_chunk_verifications: 256, num_row_decodings: 1024, size_file_uncoded_bytes: 8388608, size_column_commitments_bytes: 26624, size_file_coded_bytes: 33554432, scenario_disperse_runtime_client_seconds: 22.800060707, scenario_disperse_runtime_node_seconds: 0.2088553921640625, scenario_disperse_communication_bytes: 60817408, scenario_disperse_storage_bytes: 60817408, scenario_retrieve_runtime_client_seconds: 62.86070475, scenario_sampling_num_openings: 256, scenario_sampling_runtime_prover_seconds: 0.08670175075781252, scenario_sampling_runtime_verifier_seconds: 0.009302979335937501, scenario_sampling_runtime_proof_size_bytes: 26776 }
1024 256 1024 1 bls12-381  8323072  0.201342 0.025063  21.752515 0.084971 1.047545 0.001023 213.867922 0.208855  53.518835 0.209058 5.938332 0.005799 3.403538  256 1024 1024 256 1024  8388608 26624 33554432  22.800061 0.208855 60817408 60817408  62.860705  256 0.086702 0.009303 26776
# Args { n: 128, k: 32, L: 2048, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 2080768, runtime_setup_seconds: 0.331677386, runtime_file_generation_seconds: 0.007005311, runtime_all_column_commitments_seconds: 4.82047185, runtime_per_column_commitment_seconds: 0.1506397453125, runtime_all_row_encodings_seconds: 0.319195963, runtime_per_row_encoding_seconds: 0.00015585740380859376, runtime_all_chunk_verifications_seconds: 21.253989169, runtime_per_chunk_verification_seconds: 0.1660467903828125, runtime_all_downloaded_chunk_verifications_seconds: 5.350850321, runtime_per_downloaded_chunk_verification_seconds: 0.16721407253125, runtime_all_row_decodings_seconds: 0.169906021, runtime_per_row_decoding_seconds: 8.296192431640625e-5, runtime_prepare_decoding_seconds: 0.020948784, num_column_commitments: 32, num_row_encodings: 2048, num_chunk_verifications: 128, num_downloaded_chunk_verifications: 32, num_row_decodings: 2048, size_file_uncoded_bytes: 2097152, size_column_commitments_bytes: 3328, size_file_coded_bytes: 8388608, scenario_disperse_runtime_client_seconds: 5.139667813, scenario_disperse_runtime_node_seconds: 0.1660467903828125, scenario_disperse_communication_bytes: 8814592, scenario_disperse_storage_bytes: 8814592, scenario_retrieve_runtime_client_seconds: 5.541705126, scenario_sampling_num_openings: 32, scenario_sampling_runtime_prover_seconds: 0.15151154768750003, scenario_sampling_runtime_verifier_seconds: 0.009596111562500002, scenario_sampling_runtime_proof_size_bytes: 3480 }
128 32 2048 1 bls12-381  2080768  0.331677 0.007005  4.820472 0.150640 0.319196 0.000156 21.253989 0.166047  5.350850 0.167214 0.169906 0.000083 0.020949  32 2048 128 32 2048  2097152 3328 8388608  5.139668 0.166047 8814592 8814592  5.541705  32 0.151512 0.009596 3480
# Args { n: 256, k: 64, L: 2048, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 4161536, runtime_setup_seconds: 0.334160911, runtime_file_generation_seconds: 0.014873054, runtime_all_column_commitments_seconds: 9.749653871, runtime_per_column_commitment_seconds: 0.152338341734375, runtime_all_row_encodings_seconds: 0.540324926, runtime_per_row_encoding_seconds: 0.0002638305302734375, runtime_all_chunk_verifications_seconds: 47.974902317, runtime_per_chunk_verification_seconds: 0.18740196217578126, runtime_all_downloaded_chunk_verifications_seconds: 11.923022129, runtime_per_downloaded_chunk_verification_seconds: 0.186297220765625, runtime_all_row_decodings_seconds: 0.680292105, runtime_per_row_decoding_seconds: 0.00033217387939453127, runtime_prepare_decoding_seconds: 0.101184753, num_column_commitments: 64, num_row_encodings: 2048, num_chunk_verifications: 256, num_downloaded_chunk_verifications: 64, num_row_decodings: 2048, size_file_uncoded_bytes: 4194304, size_column_commitments_bytes: 6656, size_file_coded_bytes: 16777216, scenario_disperse_runtime_client_seconds: 10.289978797, scenario_disperse_runtime_node_seconds: 0.18740196217578126, scenario_disperse_communication_bytes: 18481152, scenario_disperse_storage_bytes: 18481152, scenario_retrieve_runtime_client_seconds: 12.704498987, scenario_sampling_num_openings: 64, scenario_sampling_runtime_prover_seconds: 0.15748032554687505, scenario_sampling_runtime_verifier_seconds: 0.010776645734375001, scenario_sampling_runtime_proof_size_bytes: 6808 }
256 64 2048 1 bls12-381  4161536  0.334161 0.014873  9.749654 0.152338 0.540325 0.000264 47.974902 0.187402  11.923022 0.186297 0.680292 0.000332 0.101185  64 2048 256 64 2048  4194304 6656 16777216  10.289979 0.187402 18481152 18481152  12.704499  64 0.157480 0.010777 6808
# Args { n: 512, k: 128, L: 2048, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 8323072, runtime_setup_seconds: 0.331080639, runtime_file_generation_seconds: 0.026530821, runtime_all_column_commitments_seconds: 19.332640309, runtime_per_column_commitment_seconds: 0.1510362524140625, runtime_all_row_encodings_seconds: 1.023168443, runtime_per_row_encoding_seconds: 0.0004995939663085938, runtime_all_chunk_verifications_seconds: 108.015600192, runtime_per_chunk_verification_seconds: 0.210967969125, runtime_all_downloaded_chunk_verifications_seconds: 26.953313222, runtime_per_downloaded_chunk_verification_seconds: 0.210572759546875, runtime_all_row_decodings_seconds: 2.859584725, runtime_per_row_decoding_seconds: 0.0013962816040039062, runtime_prepare_decoding_seconds: 0.551487973, num_column_commitments: 128, num_row_encodings: 2048, num_chunk_verifications: 512, num_downloaded_chunk_verifications: 128, num_row_decodings: 2048, size_file_uncoded_bytes: 8388608, size_column_commitments_bytes: 13312, size_file_coded_bytes: 33554432, scenario_disperse_runtime_client_seconds: 20.355808751999998, scenario_disperse_runtime_node_seconds: 0.210967969125, scenario_disperse_communication_bytes: 40370176, scenario_disperse_storage_bytes: 40370176, scenario_retrieve_runtime_client_seconds: 30.36438592, scenario_sampling_num_openings: 128, scenario_sampling_runtime_prover_seconds: 0.15177710675, scenario_sampling_runtime_verifier_seconds: 0.009375563351562501, scenario_sampling_runtime_proof_size_bytes: 13464 }
