args_n args_k args_L args_iterations args_curve  net_file_size_bytes  runtime_setup_seconds runtime_file_generation_seconds  runtime_all_column_commitments_seconds runtime_per_column_commitment_seconds runtime_all_row_encodings_seconds runtime_per_row_encoding_seconds runtime_all_chunk_verifications_seconds runtime_per_chunk_verification_seconds  runtime_all_downloaded_chunk_verifications_seconds runtime_per_downloaded_chunk_verification_seconds runtime_all_row_decodings_seconds runtime_per_row_decoding_seconds runtime_prepare_decoding_seconds  num_column_commitments num_row_encodings num_chunk_verifications num_downloaded_chunk_verifications num_row_decodings  size_file_uncoded_bytes size_column_commitments_bytes size_file_coded_bytes  scenario_disperse_runtime_client_seconds scenario_disperse_runtime_node_seconds scenario_disperse_communication_bytes scenario_disperse_storage_bytes  scenario_retrieve_runtime_client_seconds  scenario_sampling_num_openings scenario_sampling_runtime_prover_seconds scenario_sampling_runtime_verifier_seconds scenario_sampling_runtime_proof_size_bytes   ### columns
# Measurements { num_measurements: 1, net_file_size_bytes: 30171136, runtime_setup_seconds: 1.841468487, runtime_file_generation_seconds: 0.090351601, runtime_all_column_commitments_seconds: 48.218543133, runtime_per_column_commitment_seconds: 0.8313541919482759, runtime_all_row_encodings_seconds: 2.705480054, runtime_per_row_encoding_seconds: 0.00016512939782714845, runtime_all_chunk_verifications_seconds: 110.485872871, runtime_per_chunk_verification_seconds: 0.8631708818046875, runtime_all_downloaded_chunk_verifications_seconds: 48.500059228, runtime_per_downloaded_chunk_verification_seconds: 0.8362079177241379, runtime_all_row_decodings_seconds: 4.311094402, runtime_per_row_decoding_seconds: 0.0002631283204345703, runtime_prepare_decoding_seconds: 0.08504221, num_column_commitments: 58, num_row_encodings: 16384, num_chunk_verifications: 128, num_downloaded_chunk_verifications: 58, num_row_decodings: 16384, size_file_uncoded_bytes: 30408704, size_column_commitments_bytes: 6032, size_file_coded_bytes: 67108864, scenario_disperse_runtime_client_seconds: 50.924023186999996, scenario_disperse_runtime_node_seconds: 0.8631708818046875, scenario_disperse_communication_bytes: 67880960, scenario_disperse_storage_bytes: 67880960, scenario_retrieve_runtime_client_seconds: 52.89619584, scenario_sampling_num_openings: 58, scenario_sampling_runtime_prover_seconds: 0.8425002399655174, scenario_sampling_runtime_verifier_seconds: 0.013085727413793108, scenario_sampling_runtime_proof_size_bytes: 6184 }
128 58 16384 1 bls12-381  30171136  1.841468 0.090352  48.218543 0.831354 2.705480 0.000165 110.485873 0.863171  48.500059 0.836208 4.311094 0.000263 0.085042  58 16384 128 58 16384  30408704 6032 67108864  50.924023 0.863171 67880960 67880960  52.896196  58 0.842500 0.013086 6184
# Args { n: 256, k: 115, L: 8192, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 29911040, runtime_setup_seconds: 1.024581208, runtime_file_generation_seconds: 0.089143973, runtime_all_column_commitments_seconds: 52.314438215, runtime_per_column_commitment_seconds: 0.4549081583913044, runtime_all_row_encodings_seconds: 2.105573068, runtime_per_row_encoding_seconds: 0.00025702796240234375, runtime_all_chunk_verifications_seconds: 129.5943306, runtime_per_chunk_verification_seconds: 0.50622785390625, runtime_all_downloaded_chunk_verifications_seconds: 52.752099, runtime_per_downloaded_chunk_verification_seconds: 0.4587139043478261, runtime_all_row_decodings_seconds: 8.986606594, runtime_per_row_decoding_seconds: 0.0010969978752441406, runtime_prepare_decoding_seconds: 0.430427801, num_column_commitments: 115, num_row_encodings: 8192, num_chunk_verifications: 256, num_downloaded_chunk_verifications: 115, num_row_decodings: 8192, size_file_uncoded_bytes: 30146560, size_column_commitments_bytes: 11960, size_file_coded_bytes: 67108864, scenario_disperse_runtime_client_seconds: 54.420011283, scenario_disperse_runtime_node_seconds: 0.50622785390625, scenario_disperse_communication_bytes: 70170624, scenario_disperse_storage_bytes: 70170624, scenario_retrieve_runtime_client_seconds: 62.169133395, scenario_sampling_num_openings: 115, scenario_sampling_runtime_prover_seconds: 0.45845584229565234, scenario_sampling_runtime_verifier_seconds: 0.014190933452173914, scenario_sampling_runtime_proof_size_bytes: 12112 }
256 115 8192 1 bls12-381  29911040  1.024581 0.089144  52.314438 0.454908 2.105573 0.000257 129.594331 0.506228  52.752099 0.458714 8.986607 0.001097 0.430428  115 8192 256 115 8192  30146560 11960 67108864  54.420011 0.506228 70170624 70170624  62.169133  115 0.458456 0.014191 12112
# Args { n: 512, k: 230, L: 4096, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 29911040, runtime_setup_seconds: 0.558589867, runtime_file_generation_seconds: 0.086868606, runtime_all_column_commitments_seconds: 63.737609624, runtime_per_column_commitment_seconds: 0.27712004184347827, runtime_all_row_encodings_seconds: 2.068384141, runtime_per_row_encoding_seconds: 0.0005049765969238282, runtime_all_chunk_verifications_seconds: 200.714331988, runtime_per_chunk_verification_seconds: 0.3920201796640625, runtime_all_downloaded_chunk_verifications_seconds: 63.065576595, runtime_per_downloaded_chunk_verification_seconds: 0.27419815910869566, runtime_all_row_decodings_seconds: 19.121051481, runtime_per_row_decoding_seconds: 0.004668225459228515, runtime_prepare_decoding_seconds: 2.566358861, num_column_commitments: 230, num_row_encodings: 4096, num_chunk_verifications: 512, num_downloaded_chunk_verifications: 230, num_row_decodings: 4096, size_file_uncoded_bytes: 30146560, size_column_commitments_bytes: 23920, size_file_coded_bytes: 67108864, scenario_disperse_runtime_client_seconds: 65.805993765, scenario_disperse_runtime_node_seconds: 0.3920201796640625, scenario_disperse_communication_bytes: 79355904, scenario_disperse_storage_bytes: 79355904, scenario_retrieve_runtime_client_seconds: 84.752986937, scenario_sampling_num_openings: 230, scenario_sampling_runtime_prover_seconds: 0.2784561704304346, scenario_sampling_runtime_verifier_seconds: 0.01111365636086956, scenario_sampling_runtime_proof_size_bytes: 24072 }
512 230 4096 1 bls12-381  29911040  0.558590 0.086869  63.737610 0.277120 2.068384 0.000505 200.714332 0.392020  63.065577 0.274198 19.121051 0.004668 2.566359  230 4096 512 230 4096  30146560 23920 67108864  65.805994 0.392020 79355904 79355904  84.752987  230 0.278456 0.011114 24072
# Args { n: 1024, k: 461, L: 2048, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 29976064, runtime_setup_seconds: 0.332150287, runtime_file_generation_seconds: 0.089054498, runtime_all_column_commitments_seconds: 69.855089026, runtime_per_column_commitment_seconds: 0.15152947727982646, runtime_all_row_encodings_seconds: 2.074930748, runtime_per_row_encoding_seconds: 0.001013149779296875, runtime_all_chunk_verifications_seconds: 387.491494767, runtime_per_chunk_verification_seconds: 0.37840966285839844, runtime_all_downloaded_chunk_verifications_seconds: 72.167399016, runtime_per_downloaded_chunk_verification_seconds: 0.1565453340911063, runtime_all_row_decodings_seconds: 39.700576164, runtime_per_row_decoding_seconds: 0.019385046955078124, runtime_prepare_decoding_seconds: 17.359292106, num_column_commitments: 461, num_row_encodings: 2048, num_chunk_verifications: 1024, num_downloaded_chunk_verifications: 461, num_row_decodings: 2048, size_file_uncoded_bytes: 30212096, size_column_commitments_bytes: 47944, size_file_coded_bytes: 67108864, scenario_disperse_runtime_client_seconds: 71.930019774, scenario_disperse_runtime_node_seconds: 0.37840966285839844, scenario_disperse_communication_bytes: 116203520, scenario_disperse_storage_bytes: 116203520, scenario_retrieve_runtime_client_seconds: 129.227267286, scenario_sampling_num_openings: 461, scenario_sampling_runtime_prover_seconds: 0.15134497324078083, scenario_sampling_runtime_verifier_seconds: 0.00950263503036877, scenario_sampling_runtime_proof_size_bytes: 48096 }
