args_n args_k args_L args_iterations args_curve  net_file_size_bytes  runtime_setup_seconds runtime_file_generation_seconds  runtime_all_column_commitments_seconds runtime_per_column_commitment_seconds runtime_all_row_encodings_seconds runtime_per_row_encoding_seconds runtime_all_chunk_verifications_seconds runtime_per_chunk_verification_seconds  runtime_all_downloaded_chunk_verifications_seconds runtime_per_downloaded_chunk_verification_seconds runtime_all_row_decodings_seconds runtime_per_row_decoding_seconds runtime_prepare_decoding_seconds  num_column_commitments num_row_encodings num_chunk_verifications num_downloaded_chunk_verifications num_row_decodings  size_file_uncoded_bytes size_column_commitments_bytes size_file_coded_bytes  scenario_disperse_runtime_client_seconds scenario_disperse_runtime_node_seconds scenario_disperse_communication_bytes scenario_disperse_storage_bytes  scenario_retrieve_runtime_client_seconds  scenario_sampling_num_openings scenario_sampling_runtime_prover_seconds scenario_sampling_runtime_verifier_seconds scenario_sampling_runtime_proof_size_bytes   ### columns
# Measurements { num_measurements: 1, net_file_size_bytes: 8323072, runtime_setup_seconds: 0.204757915, runtime_file_generation_seconds: 0.024279406, runtime_all_column_commitments_seconds: 21.713008853, runtime_per_column_commitment_seconds: 0.08481644083203126, runtime_all_row_encodings_seconds: 1.06188345, runtime_per_row_encoding_seconds: 0.001036995556640625, runtime_all_chunk_verifications_seconds: 213.649841701, runtime_per_chunk_verification_seconds: 0.20864242353613283, runtime_all_downloaded_chunk_verifications_seconds: 23.872972511, runtime_per_downloaded_chunk_verification_seconds: 0.09325379887109375, runtime_all_row_decodings_seconds: 5.903812234, runtime_per_row_decoding_seconds: 0.005765441634765625, runtime_prepare_decoding_seconds: 3.432908941, num_column_commitments: 256, num_row_encodings: 1024, num_chunk_verifications: 1024, num_downloaded_chunk_verifications: 256, num_row_decodings: 1024, size_file_uncoded_bytes: 8388608, size_column_commitments_bytes: 26624, size_file_coded_bytes: 33554432, scenario_disperse_runtime_client_seconds: 22.774892303, scenario_disperse_runtime_node_seconds: 0.20864242353613283, scenario_disperse_communication_bytes: 60817408, scenario_disperse_storage_bytes: 60817408, scenario_retrieve_runtime_client_seconds: 33.209693686, scenario_sampling_num_openings: 256, scenario_sampling_runtime_prover_seconds: 0.08669685100781242, scenario_sampling_runtime_verifier_seconds: 0.009105162285156246, scenario_sampling_runtime_proof_size_bytes: 26776 }
1024 256 1024 1 bls12-381  8323072  0.204758 0.024279  21.713009 0.084816 1.061883 0.001037 213.649842 0.208642  23.872973 0.093254 5.903812 0.005765 3.432909  256 1024 1024 256 1024  8388608 26624 33554432  22.774892 0.208642 60817408 60817408  33.209694  256 0.086697 0.009105 26776
# Args { n: 128, k: 32, L: 16384, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 16646144, runtime_setup_seconds: 1.8448910600000001, runtime_file_generation_seconds: 0.049295275, runtime_all_column_commitments_seconds: 26.648665247, runtime_per_column_commitment_seconds: 0.83277078896875, runtime_all_row_encodings_seconds: 2.4959912380000002, runtime_per_row_encoding_seconds: 0.00015234321520996095, runtime_all_chunk_verifications_seconds: 108.530105693, runtime_per_chunk_verification_seconds: 0.8478914507265625, runtime_all_downloaded_chunk_verifications_seconds: 26.724501521, runtime_per_downloaded_chunk_verification_seconds: 0.83514067253125, runtime_all_row_decodings_seconds: 1.364413797, runtime_per_row_decoding_seconds: 8.327720928955079e-5, runtime_prepare_decoding_seconds: 0.027325019, num_column_commitments: 32, num_row_encodings: 16384, num_chunk_verifications: 128, num_downloaded_chunk_verifications: 32, num_row_decodings: 16384, size_file_uncoded_bytes: 16777216, size_column_commitments_bytes: 3328, size_file_coded_bytes: 67108864, scenario_disperse_runtime_client_seconds: 29.144656485, scenario_disperse_runtime_node_seconds: 0.8478914507265625, scenario_disperse_communication_bytes: 67534848, scenario_disperse_storage_bytes: 67534848, scenario_retrieve_runtime_client_seconds: 28.116240337, scenario_sampling_num_openings: 32, scenario_sampling_runtime_prover_seconds: 0.84059745, scenario_sampling_runtime_verifier_seconds: 0.01359851778125, scenario_sampling_runtime_proof_size_bytes: 3480 }
128 32 16384 1 bls12-381  16646144  1.844891 0.049295  26.648665 0.832771 2.495991 0.000152 108.530106 0.847891  26.724502 0.835141 1.364414 0.000083 0.027325  32 16384 128 32 16384  16777216 3328 67108864  29.144656 0.847891 67534848 67534848  28.116240  32 0.840597 0.013599 3480
# Args { n: 256, k: 64, L: 8192, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 16646144, runtime_setup_seconds: 1.032133668, runtime_file_generation_seconds: 0.051721676, runtime_all_column_commitments_seconds: 29.126465876, runtime_per_column_commitment_seconds: 0.4551010293125, runtime_all_row_encodings_seconds: 2.097667164, runtime_per_row_encoding_seconds: 0.0002560628862304688, runtime_all_chunk_verifications_seconds: 123.282084689, runtime_per_chunk_verification_seconds: 0.48157064331640625, runtime_all_downloaded_chunk_verifications_seconds: 29.562854704, runtime_per_downloaded_chunk_verification_seconds: 0.46191960475, runtime_all_row_decodings_seconds: 2.762801011, runtime_per_row_decoding_seconds: 0.00033725598278808595, runtime_prepare_decoding_seconds: 0.115497107, num_column_commitments: 64, num_row_encodings: 8192, num_chunk_verifications: 256, num_downloaded_chunk_verifications: 64, num_row_decodings: 8192, size_file_uncoded_bytes: 16777216, size_column_commitments_bytes: 6656, size_file_coded_bytes: 67108864, scenario_disperse_runtime_client_seconds: 31.22413304, scenario_disperse_runtime_node_seconds: 0.48157064331640625, scenario_disperse_communication_bytes: 68812800, scenario_disperse_storage_bytes: 68812800, scenario_retrieve_runtime_client_seconds: 32.441152822, scenario_sampling_num_openings: 64, scenario_sampling_runtime_prover_seconds: 0.45801862553125, scenario_sampling_runtime_verifier_seconds: 0.014300621437500003, scenario_sampling_runtime_proof_size_bytes: 6808 }
256 64 8192 1 bls12-381  16646144  1.032134 0.051722  29.126466 0.455101 2.097667 0.000256 123.282085 0.481571  29.562855 0.461920 2.762801 0.000337 0.115497  64 8192 256 64 8192  16777216 6656 67108864  31.224133 0.481571 68812800 68812800  32.441153  64 0.458019 0.014301 6808
# Args { n: 512, k: 128, L: 4096, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 16646144, runtime_setup_seconds: 0.558277277, runtime_file_generation_seconds: 0.048559291, runtime_all_column_commitments_seconds: 35.753171598, runtime_per_column_commitment_seconds: 0.279321653109375, runtime_all_row_encodings_seconds: 2.085192707, runtime_per_row_encoding_seconds: 0.0005090802507324219, runtime_all_chunk_verifications_seconds: 168.476581489, runtime_per_chunk_verification_seconds: 0.32905582322070315, runtime_all_downloaded_chunk_verifications_seconds: 37.362882866, runtime_per_downloaded_chunk_verification_seconds: 0.291897522390625, runtime_all_row_decodings_seconds: 5.725945676, runtime_per_row_decoding_seconds: 0.0013979359560546876, runtime_prepare_decoding_seconds: 0.563568805, num_column_commitments: 128, num_row_encodings: 4096, num_chunk_verifications: 512, num_downloaded_chunk_verifications: 128, num_row_decodings: 4096, size_file_uncoded_bytes: 16777216, size_column_commitments_bytes: 13312, size_file_coded_bytes: 67108864, scenario_disperse_runtime_client_seconds: 37.838364305, scenario_disperse_runtime_node_seconds: 0.32905582322070315, scenario_disperse_communication_bytes: 73924608, scenario_disperse_storage_bytes: 73924608, scenario_retrieve_runtime_client_seconds: 43.652397347000004, scenario_sampling_num_openings: 128, scenario_sampling_runtime_prover_seconds: 0.27406216977343745, scenario_sampling_runtime_verifier_seconds: 0.012881705249999995, scenario_sampling_runtime_proof_size_bytes: 13464 }
