args_n args_k args_L args_iterations args_curve  net_file_size_bytes  runtime_setup_seconds runtime_file_generation_seconds  runtime_all_column_commitments_seconds runtime_per_column_commitment_seconds runtime_all_row_encodings_seconds runtime_per_row_encoding_seconds runtime_all_chunk_verifications_seconds runtime_per_chunk_verification_seconds  runtime_all_downloaded_chunk_verifications_seconds runtime_per_downloaded_chunk_verification_seconds runtime_all_row_decodings_seconds runtime_per_row_decoding_seconds runtime_prepare_decoding_seconds  num_column_commitments num_row_encodings num_chunk_verifications num_downloaded_chunk_verifications num_row_decodings  size_file_uncoded_bytes size_column_commitments_bytes size_file_coded_bytes  scenario_disperse_runtime_client_seconds scenario_disperse_runtime_node_seconds scenario_disperse_communication_bytes scenario_disperse_storage_bytes  scenario_retrieve_runtime_client_seconds  scenario_sampling_num_openings scenario_sampling_runtime_prover_seconds scenario_sampling_runtime_verifier_seconds scenario_sampling_runtime_proof_size_bytes   ### columns
# Args { n: 32, k: 11, L: 65536, iterations: 1, curve: Bls12_381 }
# Measurements { num_measurements: 1, net_file_size_bytes: 22888448, runtime_setup_seconds: 6.663881963, runtime_file_generation_seconds: 0.073485695, runtime_all_column_commitments_seconds: 33.47666763, runtime_per_column_commitment_seconds: 3.043333420909091, runtime_all_row_encodings_seconds: 3.77404123, runtime_per_row_encoding_seconds: 5.7587299041748046e-5, runtime_all_chunk_verifications_seconds: 93.528698987, runtime_per_chunk_verification_seconds: 2.92277184334375, runtime_all_downloaded_chunk_verifications_seconds: 30.990407131, runtime_per_downloaded_chunk_verification_seconds: 2.8173097391818183, runtime_all_row_decodings_seconds: 0.676256539, runtime_per_row_decoding_seconds: 1.0318855880737305e-5, runtime_prepare_decoding_seconds: 0.002286761, num_column_commitments: 11, num_row_encodings: 65536, num_chunk_verifications: 32, num_downloaded_chunk_verifications: 11, num_row_decodings: 65536, size_file_uncoded_bytes: 23068672, size_column_commitments_bytes: 1144, size_file_coded_bytes: 67108864, scenario_disperse_runtime_client_seconds: 37.25070886, scenario_disperse_runtime_node_seconds: 2.92277184334375, scenario_disperse_communication_bytes: 67145472, scenario_disperse_storage_bytes: 67145472, scenario_retrieve_runtime_client_seconds: 31.668950431000003, scenario_sampling_num_openings: 11, scenario_sampling_runtime_prover_seconds: 2.833258853272727, scenario_sampling_runtime_verifier_seconds: 0.013965239, scenario_sampling_runtime_proof_size_bytes: 1296 }
# Measurements { num_measurements: 1, net_file_size_bytes: 21762048, runtime_setup_seconds: 1.796792639, runtime_file_generation_seconds: 0.07324023, runtime_all_column_commitments_seconds: 16.61461578, runtime_per_column_commitment_seconds: 0.79117218, runtime_all_row_encodings_seconds: 3.512740935, runtime_per_row_encoding_seconds: 0.00010720034591674805, runtime_all_chunk_verifications_seconds: 51.526616878, runtime_per_chunk_verification_seconds: 0.80510338871875, runtime_all_downloaded_chunk_verifications_seconds: 16.815790061, runtime_per_downloaded_chunk_verification_seconds: 0.8007519076666667, runtime_all_row_decodings_seconds: 1.178684731, runtime_per_row_decoding_seconds: 3.597060336303711e-5, runtime_prepare_decoding_seconds: 0.00816439, num_column_commitments: 21, num_row_encodings: 32768, num_chunk_verifications: 64, num_downloaded_chunk_verifications: 21, num_row_decodings: 32768, size_file_uncoded_bytes: 22020096, size_column_commitments_bytes: 1512, size_file_coded_bytes: 67108864, scenario_disperse_runtime_client_seconds: 20.127356715, scenario_disperse_runtime_node_seconds: 0.80510338871875, scenario_disperse_communication_bytes: 67205632, scenario_disperse_storage_bytes: 67205632, scenario_retrieve_runtime_client_seconds: 18.002639182000003, scenario_sampling_num_openings: 21, scenario_sampling_runtime_prover_seconds: 0.8051757055238095, scenario_sampling_runtime_verifier_seconds: 0.007616420285714285, scenario_sampling_runtime_proof_size_bytes: 1632 }
64 21 32768 1 bn254  21762048  1.796793 0.073240  16.614616 0.791172 3.512741 0.000107 51.526617 0.805103  16.815790 0.800752 1.178685 0.000036 0.008164  21 32768 64 21 32768  22020096 1512 67108864  20.127357 0.805103 67205632 67205632  18.002639  21 0.805176 0.007616 1632
# Args { n: 128, k: 43, L: 16384, iterations: 1, curve: Bn254 }
# Measurements { num_measurements: 1, net_file_size_bytes: 22280192, runtime_setup_seconds: 0.993285713, runtime_file_generation_seconds: 0.07330806, runtime_all_column_commitments_seconds: 18.385759043, runtime_per_column_commitment_seconds: 0.4275757916976744, runtime_all_row_encodings_seconds: 2.5742731020000003, runtime_per_row_encoding_seconds: 0.0001571211610107422, runtime_all_chunk_verifications_seconds: 56.625937329, runtime_per_chunk_verification_seconds: 0.4423901353828125, runtime_all_downloaded_chunk_verifications_seconds: 18.906898972, runtime_per_downloaded_chunk_verification_seconds: 0.43969532493023256, runtime_all_row_decodings_seconds: 2.517020306, runtime_per_row_decoding_seconds: 0.00015362672766113281, runtime_prepare_decoding_seconds: 0.043050493, num_column_commitments: 43, num_row_encodings: 16384, num_chunk_verifications: 128, num_downloaded_chunk_verifications: 43, num_row_decodings: 16384, size_file_uncoded_bytes: 22544384, size_column_commitments_bytes: 3096, size_file_coded_bytes: 67108864, scenario_disperse_runtime_client_seconds: 20.960032145, scenario_disperse_runtime_node_seconds: 0.4423901353828125, scenario_disperse_communication_bytes: 67505152, scenario_disperse_storage_bytes: 67505152, scenario_retrieve_runtime_client_seconds: 21.466969771, scenario_sampling_num_openings: 43, scenario_sampling_runtime_prover_seconds: 0.43782199048837206, scenario_sampling_runtime_verifier_seconds: 0.009969559465116283, scenario_sampling_runtime_proof_size_bytes: 3216 }
128 43 16384 1 bn254  22280192  0.993286 0.073308  18.385759 0.427576 2.574273 0.000157 56.625937 0.442390  18.906899 0.439695 2.517020 0.000154 0.043050  43 16384 128 43 16384  22544384 3096 67108864  20.960032 0.442390 67505152 67505152  21.466970  43 0.437822 0.009970 3216
# Args { n: 256, k: 85, L: 8192, iterations: 1, curve: Bn254 }
# Measurements { num_measurements: 1, net_file_size_bytes: 22021120, runtime_setup_seconds: 0.550354598, runtime_file_generation_seconds: 0.075424601, runtime_all_column_commitments_seconds: 20.518842027, runtime_per_column_commitment_seconds: 0.24139814149411767, runtime_all_row_encodings_seconds: 2.142660344, runtime_per_row_encoding_seconds: 0.0002615552177734375, runtime_all_chunk_verifications_seconds: 67.180558397, runtime_per_chunk_verification_seconds: 0.26242405623828124, runtime_all_downloaded_chunk_verifications_seconds: 21.516068226, runtime_per_downloaded_chunk_verification_seconds: 0.25313021442352945, runtime_all_row_decodings_seconds: 4.751471259, runtime_per_row_decoding_seconds: 0.0005800135814208984, runtime_prepare_decoding_seconds: 0.201881862, num_column_commitments: 85, num_row_encodings: 8192, num_chunk_verifications: 256, num_downloaded_chunk_verifications: 85, num_row_decodings: 8192, size_file_uncoded_bytes: 22282240, size_column_commitments_bytes: 6120, size_file_coded_bytes: 67108864, scenario_disperse_runtime_client_seconds: 22.661502371, scenario_disperse_runtime_node_seconds: 0.26242405623828124, scenario_disperse_communication_bytes: 68675584, scenario_disperse_storage_bytes: 68675584, scenario_retrieve_runtime_client_seconds: 26.469421347, scenario_sampling_num_openings: 85, scenario_sampling_runtime_prover_seconds: 0.24202331805882352, scenario_sampling_runtime_verifier_seconds: 0.010626832023529412, scenario_sampling_runtime_proof_size_bytes: 6240 }
256 85 8192 1 bn254  22021120  0.550355 0.075425  20.518842 0.241398 2.142660 0.000262 67.180558 0.262424  21.516068 0.253130 4.751471 0.000580 0.201882  85 8192 256 85 8192  22282240 6120 67108864  22.661502 0.262424 68675584 68675584  26.469421  85 0.242023 0.010627 6240
# Args { n: 512, k: 171, L: 4096, iterations: 1, curve: Bn254 }
# Measurements { num_measurements: 1, net_file_size_bytes: 22150656, runtime_setup_seconds: 0.297614595, runtime_file_generation_seconds: 0.075864532, runtime_all_column_commitments_seconds: 25.212217405, runtime_per_column_commitment_seconds: 0.1474398678654971, runtime_all_row_encodings_seconds: 2.054333328, runtime_per_row_encoding_seconds: 0.00050154622265625, runtime_all_chunk_verifications_seconds: 90.735810038, runtime_per_chunk_verification_seconds: 0.17721837898046874, runtime_all_downloaded_chunk_verifications_seconds: 30.268315075, runtime_per_downloaded_chunk_verification_seconds: 0.17700769049707601, runtime_all_row_decodings_seconds: 10.660588583, runtime_per_row_decoding_seconds: 0.002602682759521484, runtime_prepare_decoding_seconds: 1.190876346, num_column_commitments: 171, num_row_encodings: 4096, num_chunk_verifications: 512, num_downloaded_chunk_verifications: 171, num_row_decodings: 4096, size_file_uncoded_bytes: 22413312, size_column_commitments_bytes: 12312, size_file_coded_bytes: 67108864, scenario_disperse_runtime_client_seconds: 27.266550733, scenario_disperse_runtime_node_seconds: 0.17721837898046874, scenario_disperse_communication_bytes: 73412608, scenario_disperse_storage_bytes: 73412608, scenario_retrieve_runtime_client_seconds: 42.119780004, scenario_sampling_num_openings: 171, scenario_sampling_runtime_prover_seconds: 0.14223330043274848, scenario_sampling_runtime_verifier_seconds: 0.007621255649122811, scenario_sampling_runtime_proof_size_bytes: 12432 }
512 171 4096 1 bn254  22150656  0.297615 0.075865  25.212217 0.147440 2.054333 0.000502 90.735810 0.177218  30.268315 0.177008 10.660589 0.002603 1.190876  171 4096 512 171 4096  22413312 12312 67108864  27.266551 0.177218 73412608 73412608  42.119780  171 0.142233 0.007621 12432
# Args { n: 1024, k: 341, L: 2048, iterations: 1, curve: Bn254 }
# Measurements { num_measurements: 1, net_file_size_bytes: 22085888, runtime_setup_seconds: 0.175822465, runtime_file_generation_seconds: 0.086833526, runtime_all_column_commitments_seconds: 26.595445248, runtime_per_column_commitment_seconds: 0.07799250805865103, runtime_all_row_encodings_seconds: 2.071640467, runtime_per_row_encoding_seconds: 0.0010115431967773437, runtime_all_chunk_verifications_seconds: 163.953434276, runtime_per_chunk_verification_seconds: 0.16011077566015625, runtime_all_downloaded_chunk_verifications_seconds: 54.383260675, runtime_per_downloaded_chunk_verification_seconds: 0.15948170285923755, runtime_all_row_decodings_seconds: 22.73227978, runtime_per_row_decoding_seconds: 0.011099745986328124, runtime_prepare_decoding_seconds: 7.562248534, num_column_commitments: 341, num_row_encodings: 2048, num_chunk_verifications: 1024, num_downloaded_chunk_verifications: 341, num_row_decodings: 2048, size_file_uncoded_bytes: 22347776, size_column_commitments_bytes: 24552, size_file_coded_bytes: 67108864, scenario_disperse_runtime_client_seconds: 28.667085715, scenario_disperse_runtime_node_seconds: 0.16011077566015625, scenario_disperse_communication_bytes: 92250112, scenario_disperse_storage_bytes: 92250112, scenario_retrieve_runtime_client_seconds: 84.67778898899999, scenario_sampling_num_openings: 341, scenario_sampling_runtime_prover_seconds: 0.07938372403812313, scenario_sampling_runtime_verifier_seconds: 0.007296095272727276, scenario_sampling_runtime_proof_size_bytes: 24672 }
1024 341 2048 1 bn254  22085888  0.175822 0.086834  26.595445 0.077993 2.071640 0.001012 163.953434 0.160111  54.383261 0.159482 22.732280 0.011100 7.562249  341 2048 1024 341 2048  22347776 24552 67108864  28.667086 0.160111 92250112 92250112  84.677789  341 0.079384 0.007296 24672
